,inventory,src_index,inventory_id,inventory_id_name,lsidx,trigger,type,material,spat_unc,ID_HDC_G0,UC_NM_MN,date_local_midnight_utc,precip_source,Gauge ID,station_dist,tr_start,tr_tpk,tr_htopk,tr_cptopk,tr_nnantopk,e_start,e_htopk,e_cptopk,e_nnantopk
485,NASA GLC,315,2553,event_id,315,Precipitation,Other,Unknown,<5km,14,Los Angeles,2010-10-06 07:00:00+00:00,GSDR,US_041057,6219.37659765302,2010-10-06 14:00:00+00:00,2010-10-06 16:00:00+00:00,3,2.286,0,2010-10-04 20:00:00+00:00,45,7.874,0
333,NASA GLC,324,1481,event_id,324,Precipitation,Slide,Earth,<10km,14,Los Angeles,2010-02-06 08:00:00+00:00,GSDR,US_CA_133,4436.50116516018,2010-02-05 17:00:00+00:00,2010-02-06 14:00:00+00:00,22,64.262,0,2010-02-05 17:00:00+00:00,22,64.262,0
438,NASA GLC,991,4541,event_id,991,Precipitation,Slide,Earth,<5km,3868,Durban,2012-09-05 22:00:00+00:00,SAWS,DURBAN SOUTH AWS,5722.55462987417,2012-09-04 23:00:00+00:00,2012-09-06 06:00:00+00:00,32,82.2,0,2012-09-03 17:00:00+00:00,62,98,0
1170,NASA GLC,995,3414,event_id,995,Precipitation,Slide,Unknown,<1km,681,Cincinnati,2011-04-25 04:00:00+00:00,GSDR,ISD_724210-93814,16343.4037041045,2011-04-25 08:00:00+00:00,2011-04-25 09:00:00+00:00,2,9.7,0,2011-04-22 21:00:00+00:00,61,65.55,1
18,NASA GLC,1021,1377,event_id,1021,Precipitation,Slide,Earth,<1km,1361,Rio de Janeiro,2009-12-31 02:00:00+00:00,GSDR,BR_18,820.818832421047,2009-12-30 14:00:00+00:00,2009-12-31 11:00:00+00:00,22,144.2,0,2009-12-28 03:00:00+00:00,81,221,0
8,NASA GLC,1050,1653,event_id,1050,Precipitation,Slide,Unknown,<1km,1361,Rio de Janeiro,2010-04-06 03:00:00+00:00,GSDR,BR_31,506.120944009998,2010-04-05 20:00:00+00:00,2010-04-06 05:00:00+00:00,10,118.4,0,2010-04-04 21:00:00+00:00,33,132.4,0
1317,NASA GLC,1057,3415,event_id,1057,Precipitation,Slide,Earth,<1km,681,Cincinnati,2011-04-25 04:00:00+00:00,GSDR,ISD_725217-53855,23739.4267772292,2011-04-25 09:00:00+00:00,2011-04-25 14:00:00+00:00,6,5.15,1,2011-04-19 05:00:00+00:00,154,98.5,9
1030,NASA GLC,1061,1720,event_id,1061,Precipitation,Slide,Unknown,<1km,1372,Sao Goncalo,2010-04-06 03:00:00+00:00,GSDR,BR_15,12058.1466501728,2010-04-05 20:00:00+00:00,2010-04-06 05:00:00+00:00,10,129.6,0,2010-04-04 20:00:00+00:00,34,134.8,0
533,NASA GLC,1166,2018,event_id,1166,Precipitation,Slide,Unknown,<1km,6845,Mumbai,2010-07-21 18:30:00+00:00,GSDR,IN_44,6794.88367133853,2010-07-21 10:30:00+00:00,2010-07-22 04:30:00+00:00,19,90.3,0,2010-07-15 15:30:00+00:00,158,221.4,0
844,NASA GLC,1167,1649,event_id,1167,Precipitation,Slide,Unknown,<1km,1372,Sao Goncalo,2010-04-06 03:00:00+00:00,GSDR,BR_2,9541.44923758273,2010-04-05 12:00:00+00:00,2010-04-06 05:00:00+00:00,18,93.4,0,2010-04-04 23:00:00+00:00,31,95.6,0
1129,NASA GLC,2002,2895,event_id,2002,Precipitation,Slide,Earth,Exact,14,Los Angeles,2010-12-22 08:00:00+00:00,GSDR,US_CA_044,14372.5619607494,2010-12-20 20:00:00+00:00,2010-12-22 13:00:00+00:00,42,112.776,0,2010-12-16 09:00:00+00:00,149,153.416,0
1324,NASA GLC,2030,5142,event_id,2030,Precipitation,Slide,Earth,<1km,14,Los Angeles,2013-07-20 07:00:00+00:00,GSDR,ISD_720333-53175,24251.9436462572,2013-07-20 23:00:00+00:00,2013-07-20 23:00:00+00:00,1,0.2,0,2013-07-20 23:00:00+00:00,1,0.2,0
66,NASA GLC,2060,1737,event_id,2060,Precipitation,Slide,Unknown,<1km,1361,Rio de Janeiro,2010-04-06 03:00:00+00:00,GSDR,BR_31,1678.38498135498,2010-04-05 20:00:00+00:00,2010-04-06 05:00:00+00:00,10,118.4,0,2010-04-04 21:00:00+00:00,33,132.4,0
29,NASA GLC,2089,1300,event_id,2089,Precipitation,Slide,Earth,<25km,1361,Rio de Janeiro,2009-11-16 02:00:00+00:00,GSDR,BR_3,1107.43939183958,2009-11-16 00:00:00+00:00,2009-11-16 06:00:00+00:00,7,59.6,0,2009-11-16 00:00:00+00:00,7,59.6,0
1000,NASA GLC,2099,6885,event_id,2099,Precipitation,Slide,Unknown,Exact,140,Seattle,2015-03-15 07:00:00+00:00,GSDR,ISD_727934-94248,11377.8561773339,2015-03-15 10:00:00+00:00,2015-03-15 15:00:00+00:00,6,9.3,1,2015-03-14 06:00:00+00:00,34,27.2,3
480,NASA GLC,2122,1725,event_id,2122,Precipitation,Slide,Earth,<5km,1372,Sao Goncalo,2010-04-06 03:00:00+00:00,GSDR,BR_2,6148.86036939569,2010-04-05 12:00:00+00:00,2010-04-06 05:00:00+00:00,18,93.4,0,2010-04-04 23:00:00+00:00,31,95.6,0
1053,NASA GLC,2164,2651,event_id,2164,Precipitation,Slide,Unknown,<1km,101,Portland,2010-10-24 07:00:00+00:00,GSDR,ISD_726980-24229,12405.7981351408,2010-10-23 23:00:00+00:00,2010-10-25 03:00:00+00:00,29,37,1,2010-10-23 06:00:00+00:00,46,38.6,1
1205,NASA GLC,2967,2015,event_id,2967,Precipitation,Slide,Unknown,<5km,6845,Mumbai,2010-06-24 18:30:00+00:00,GSDR,IN_44,17770.7831910809,2010-06-24 19:30:00+00:00,2010-06-24 20:30:00+00:00,2,52.5,0,2010-06-24 19:30:00+00:00,2,52.5,0
296,NASA GLC,2976,1631,event_id,2976,Precipitation,Slide,Unknown,<10km,1361,Rio de Janeiro,2010-04-06 03:00:00+00:00,GSDR,BR_30,4097.75166266177,2010-04-05 10:00:00+00:00,2010-04-06 07:00:00+00:00,22,155.2,0,2010-04-04 19:00:00+00:00,37,167.4,0
1096,NASA GLC,2990,995,event_id,2990,Precipitation,Slide,Earth,<1km,819,Pittsburgh,2009-03-10 04:00:00+00:00,GSDR,ISD_725205-14762,13622.2704014629,2009-03-10 15:00:00+00:00,2009-03-10 15:00:00+00:00,1,0.3,0,2009-03-08 09:00:00+00:00,55,4.85,2
1274,NASA GLC,3033,7794,event_id,3033,Precipitation,Slide,Earth,<5km,140,Seattle,2015-10-10 07:00:00+00:00,GSDR,ISD_727930-24233,22088.9420086785,2015-10-10 12:00:00+00:00,2015-10-10 17:00:00+00:00,6,11.2,0,2015-10-07 12:00:00+00:00,78,21.2,3
